Date : 2023-11-07 19:49:38
Directory : e:\webdevelopment\dvki\client\frontend
Total : 123 files,  50619 codes, 614 comments, 834 blanks, all 52067 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          4 |     42,310 |          0 |          3 |     42,313 |
| JavaScript         |         95 |      7,624 |        555 |        745 |      8,924 |
| XML                |         14 |        334 |          0 |         12 |        346 |
| SCSS               |          2 |        209 |         35 |         43 |        287 |
| Markdown           |          4 |         53 |          0 |         18 |         71 |
| YAML               |          1 |         35 |          3 |          7 |         45 |
| HTML               |          1 |         33 |         21 |          5 |         59 |
| Properties         |          1 |         12 |          0 |          0 |         12 |
| JSON with Comments |          1 |          9 |          0 |          1 |         10 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                  |        123 |     50,619 |        614 |        834 |     52,067 |
| . (Files)                                                                                                          |          6 |     38,466 |          0 |          5 |     38,471 |
| .github                                                                                                            |          4 |         87 |          3 |         24 |        114 |
| .github\ISSUE_TEMPLATE                                                                                             |          3 |         52 |          0 |         17 |         69 |
| .github\workflows                                                                                                  |          1 |         35 |          3 |          7 |         45 |
| public                                                                                                             |          2 |         51 |         21 |          6 |         78 |
| src                                                                                                                |        111 |     12,015 |        590 |        799 |     13,404 |
| src (Files)                                                                                                        |          4 |        134 |         44 |         31 |        209 |
| src\abis                                                                                                           |          1 |      3,866 |          0 |          0 |      3,866 |
| src\assets                                                                                                         |         15 |        525 |         35 |         54 |        614 |
| src\assets\images                                                                                                  |         13 |        316 |          0 |         11 |        327 |
| src\assets\images (Files)                                                                                          |          4 |         37 |          0 |          3 |         40 |
| src\assets\images\auth                                                                                             |          6 |        253 |          0 |          5 |        258 |
| src\assets\images\icons                                                                                            |          2 |         11 |          0 |          2 |         13 |
| src\assets\images\users                                                                                            |          1 |         15 |          0 |          1 |         16 |
| src\assets\scss                                                                                                    |          2 |        209 |         35 |         43 |        287 |
| src\data                                                                                                           |          2 |        113 |          0 |         15 |        128 |
| src\hooks                                                                                                          |          1 |         12 |          1 |          6 |         19 |
| src\layout                                                                                                         |         19 |      2,065 |        132 |        211 |      2,408 |
| src\layout (Files)                                                                                                 |          2 |         51 |          2 |         14 |         67 |
| src\layout\Customization                                                                                           |          1 |        196 |          8 |         15 |        219 |
| src\layout\MainLayout                                                                                              |         15 |      1,809 |        120 |        177 |      2,106 |
| src\layout\MainLayout (Files)                                                                                      |          1 |         93 |          6 |         12 |        111 |
| src\layout\MainLayout\Header                                                                                       |          6 |      1,092 |         77 |         77 |      1,246 |
| src\layout\MainLayout\Header (Files)                                                                               |          1 |        147 |          4 |         14 |        165 |
| src\layout\MainLayout\Header\NotificationSection                                                                   |          2 |        467 |         13 |         25 |        505 |
| src\layout\MainLayout\Header\ProfileSection                                                                        |          2 |        308 |         53 |         22 |        383 |
| src\layout\MainLayout\Header\SearchSection                                                                         |          1 |        170 |          7 |         16 |        193 |
| src\layout\MainLayout\LogoSection                                                                                  |          1 |         16 |          3 |          6 |         25 |
| src\layout\MainLayout\Sidebar                                                                                      |          7 |        608 |         34 |         82 |        724 |
| src\layout\MainLayout\Sidebar (Files)                                                                              |          1 |         76 |          4 |         11 |         91 |
| src\layout\MainLayout\Sidebar\Authenticity                                                                         |          1 |        128 |          5 |         13 |        146 |
| src\layout\MainLayout\Sidebar\MenuCard                                                                             |          1 |        110 |          5 |         12 |        127 |
| src\layout\MainLayout\Sidebar\MenuList                                                                             |          4 |        294 |         20 |         46 |        360 |
| src\layout\MainLayout\Sidebar\MenuList (Files)                                                                     |          1 |         19 |          3 |          6 |         28 |
| src\layout\MainLayout\Sidebar\MenuList\NavCollapse                                                                 |          1 |        132 |          7 |         16 |        155 |
| src\layout\MainLayout\Sidebar\MenuList\NavGroup                                                                    |          1 |         48 |          4 |         10 |         62 |
| src\layout\MainLayout\Sidebar\MenuList\NavItem                                                                     |          1 |         95 |          6 |         14 |        115 |
| src\layout\MinimalLayout                                                                                           |          1 |          9 |          2 |          5 |         16 |
| src\menu-items                                                                                                     |          5 |        154 |         21 |         25 |        200 |
| src\routes                                                                                                         |          4 |        121 |         10 |         19 |        150 |
| src\store                                                                                                          |          5 |         57 |          8 |         17 |         82 |
| src\themes                                                                                                         |          4 |        423 |         14 |         15 |        452 |
| src\ui-component                                                                                                   |         17 |        902 |         59 |        119 |      1,080 |
| src\ui-component (Files)                                                                                           |          3 |         40 |         20 |         15 |         75 |
| src\ui-component\cards                                                                                             |         10 |        456 |         24 |         58 |        538 |
| src\ui-component\cards (Files)                                                                                     |          4 |        191 |          9 |         31 |        231 |
| src\ui-component\cards\Skeleton                                                                                    |          6 |        265 |         15 |         27 |        307 |
| src\ui-component\extended                                                                                          |          4 |        406 |         15 |         46 |        467 |
| src\utils                                                                                                          |          1 |         21 |          8 |          6 |         35 |
| src\views                                                                                                          |         33 |      3,622 |        258 |        281 |      4,161 |
| src\views\dashboard                                                                                                |         17 |      1,966 |        175 |        156 |      2,297 |
| src\views\dashboard\Default                                                                                        |          3 |        342 |         44 |         31 |        417 |
| src\views\dashboard\Organization                                                                                   |         14 |      1,624 |        131 |        125 |      1,880 |
| src\views\dashboard\Organization (Files)                                                                           |          7 |        964 |         34 |         83 |      1,081 |
| src\views\dashboard\Organization\admissions                                                                        |          1 |         22 |         31 |          7 |         60 |
| src\views\dashboard\Organization\chart-data                                                                        |          4 |        222 |          4 |         11 |        237 |
| src\views\dashboard\Organization\requests                                                                          |          2 |        416 |         62 |         24 |        502 |
| src\views\pages                                                                                                    |          9 |      1,109 |         35 |         83 |      1,227 |
| src\views\pages\authentication                                                                                     |          6 |        735 |         25 |         65 |        825 |
| src\views\pages\authentication (Files)                                                                             |          2 |         29 |          5 |         11 |         45 |
| src\views\pages\authentication\auth-forms                                                                          |          2 |        556 |         12 |         38 |        606 |
| src\views\pages\authentication\authentication3                                                                     |          2 |        150 |          8 |         16 |        174 |
| src\views\pages\certificates                                                                                       |          3 |        374 |         10 |         18 |        402 |
| src\views\pages\certificates (Files)                                                                               |          1 |         23 |          3 |          7 |         33 |
| src\views\pages\certificates\request                                                                               |          1 |        265 |          5 |          4 |        274 |
| src\views\pages\certificates\verify                                                                                |          1 |         86 |          2 |          7 |         95 |
| src\views\sample-page                                                                                              |          2 |         64 |         31 |          6 |        101 |
| src\views\utilities                                                                                                |          5 |        483 |         17 |         36 |        536 |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                           | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| e:\webdevelopment\dvki\client\frontend\.env                                                                        | Properties         |         12 |          0 |          0 |         12 |
| e:\webdevelopment\dvki\client\frontend\.github\ISSUE_TEMPLATE\bug_report.md                                        | Markdown           |         30 |          0 |         11 |         41 |
| e:\webdevelopment\dvki\client\frontend\.github\ISSUE_TEMPLATE\custom.md                                            | Markdown           |          7 |          0 |          1 |          8 |
| e:\webdevelopment\dvki\client\frontend\.github\ISSUE_TEMPLATE\feature_request.md                                   | Markdown           |         15 |          0 |          5 |         20 |
| e:\webdevelopment\dvki\client\frontend\.github\workflows\prod.yml                                                  | YAML               |         35 |          3 |          7 |         45 |
| e:\webdevelopment\dvki\client\frontend\.prettierrc                                                                 | JSON               |          8 |          0 |          1 |          9 |
| e:\webdevelopment\dvki\client\frontend\README.md                                                                   | Markdown           |          1 |          0 |          1 |          2 |
| e:\webdevelopment\dvki\client\frontend\jsconfig.json                                                               | JSON with Comments |          9 |          0 |          1 |         10 |
| e:\webdevelopment\dvki\client\frontend\package-lock.json                                                           | JSON               |     38,346 |          0 |          1 |     38,347 |
| e:\webdevelopment\dvki\client\frontend\package.json                                                                | JSON               |         90 |          0 |          1 |         91 |
| e:\webdevelopment\dvki\client\frontend\public\favicon.svg                                                          | XML                |         18 |          0 |          1 |         19 |
| e:\webdevelopment\dvki\client\frontend\public\index.html                                                           | HTML               |         33 |         21 |          5 |         59 |
| e:\webdevelopment\dvki\client\frontend\src\App.js                                                                  | JavaScript         |         20 |          4 |          9 |         33 |
| e:\webdevelopment\dvki\client\frontend\src\abis\Verification.json                                                  | JSON               |      3,866 |          0 |          0 |      3,866 |
| e:\webdevelopment\dvki\client\frontend\src\assets\images\auth\auth-blue-card.svg                                   | XML                |         65 |          0 |          1 |         66 |
| e:\webdevelopment\dvki\client\frontend\src\assets\images\auth\auth-pattern-dark.svg                                | XML                |         39 |          0 |          1 |         40 |
| e:\webdevelopment\dvki\client\frontend\src\assets\images\auth\auth-pattern.svg                                     | XML                |         39 |          0 |          1 |         40 |
| e:\webdevelopment\dvki\client\frontend\src\assets\images\auth\auth-purple-card.svg                                 | XML                |         69 |          0 |          1 |         70 |
| e:\webdevelopment\dvki\client\frontend\src\assets\images\auth\auth-signup-blue-card.svg                            | XML                |          1 |          0 |          0 |          1 |
| e:\webdevelopment\dvki\client\frontend\src\assets\images\auth\auth-signup-white-card.svg                           | XML                |         40 |          0 |          1 |         41 |
| e:\webdevelopment\dvki\client\frontend\src\assets\images\hero.svg                                                  | XML                |          1 |          0 |          0 |          1 |
| e:\webdevelopment\dvki\client\frontend\src\assets\images\icons\earning.svg                                         | XML                |          5 |          0 |          1 |          6 |
| e:\webdevelopment\dvki\client\frontend\src\assets\images\icons\social-google.svg                                   | XML                |          6 |          0 |          1 |          7 |
| e:\webdevelopment\dvki\client\frontend\src\assets\images\logo-dark.svg                                             | XML                |         12 |          0 |          1 |         13 |
| e:\webdevelopment\dvki\client\frontend\src\assets\images\logo-white.svg                                            | XML                |         12 |          0 |          1 |         13 |
| e:\webdevelopment\dvki\client\frontend\src\assets\images\logo.svg                                                  | XML                |         12 |          0 |          1 |         13 |
| e:\webdevelopment\dvki\client\frontend\src\assets\images\users\user-round.svg                                      | XML                |         15 |          0 |          1 |         16 |
| e:\webdevelopment\dvki\client\frontend\src\assets\scss\_themes-vars.module.scss                                    | SCSS               |        100 |         29 |         29 |        158 |
| e:\webdevelopment\dvki\client\frontend\src\assets\scss\style.scss                                                  | SCSS               |        109 |          6 |         14 |        129 |
| e:\webdevelopment\dvki\client\frontend\src\config.js                                                               | JavaScript         |          7 |          2 |          2 |         11 |
| e:\webdevelopment\dvki\client\frontend\src\data\api.js                                                             | JavaScript         |         43 |          0 |          5 |         48 |
| e:\webdevelopment\dvki\client\frontend\src\data\auth.js                                                            | JavaScript         |         70 |          0 |         10 |         80 |
| e:\webdevelopment\dvki\client\frontend\src\hooks\useScriptRef.js                                                   | JavaScript         |         12 |          1 |          6 |         19 |
| e:\webdevelopment\dvki\client\frontend\src\index.js                                                                | JavaScript         |         18 |          7 |          7 |         32 |
| e:\webdevelopment\dvki\client\frontend\src\layout\Customization\index.js                                           | JavaScript         |        196 |          8 |         15 |        219 |
| e:\webdevelopment\dvki\client\frontend\src\layout\MainLayout\Header\NotificationSection\NotificationList.js        | JavaScript         |        269 |          4 |         10 |        283 |
| e:\webdevelopment\dvki\client\frontend\src\layout\MainLayout\Header\NotificationSection\index.js                   | JavaScript         |        198 |          9 |         15 |        222 |
| e:\webdevelopment\dvki\client\frontend\src\layout\MainLayout\Header\ProfileSection\UpgradePlanCard.js              | JavaScript         |         59 |          4 |          6 |         69 |
| e:\webdevelopment\dvki\client\frontend\src\layout\MainLayout\Header\ProfileSection\index.js                        | JavaScript         |        249 |         49 |         16 |        314 |
| e:\webdevelopment\dvki\client\frontend\src\layout\MainLayout\Header\SearchSection\index.js                         | JavaScript         |        170 |          7 |         16 |        193 |
| e:\webdevelopment\dvki\client\frontend\src\layout\MainLayout\Header\index.js                                       | JavaScript         |        147 |          4 |         14 |        165 |
| e:\webdevelopment\dvki\client\frontend\src\layout\MainLayout\LogoSection\index.js                                  | JavaScript         |         16 |          3 |          6 |         25 |
| e:\webdevelopment\dvki\client\frontend\src\layout\MainLayout\Sidebar\Authenticity\index.js                         | JavaScript         |        128 |          5 |         13 |        146 |
| e:\webdevelopment\dvki\client\frontend\src\layout\MainLayout\Sidebar\MenuCard\index.js                             | JavaScript         |        110 |          5 |         12 |        127 |
| e:\webdevelopment\dvki\client\frontend\src\layout\MainLayout\Sidebar\MenuList\NavCollapse\index.js                 | JavaScript         |        132 |          7 |         16 |        155 |
| e:\webdevelopment\dvki\client\frontend\src\layout\MainLayout\Sidebar\MenuList\NavGroup\index.js                    | JavaScript         |         48 |          4 |         10 |         62 |
